59,30,1,1,1,8,1,53,7
23,45,7,52,54,47,28,7,52
1,8,45,55,30,54,8,53,1
16,1,51,2,59,23,4,28,47
1,1,54,1,1,1,53,1,43
28,47,4,1,55,7,1,47,54
28,4,53,55,56,28,54,48,56
1,4,1,59,1,47,28,1,56
1,40,1,28,60,59,30,45,1
56,43,56,59,30,56,47,1,54
59,46,48,57,1,54,45,52,53
4,1,37,1,48,47,4,43,1
56,7,52,1,47,1,1,52,54
1,52,59,56,47,44,46,47,59
1,16,22,4,47,1,47,1,1
47,4,51,1,56,54,1,60,55
16,47,1,1,1,16,55,16,1
34,52,57,1,1,45,4,1,1
1,58,28,51,1,16,47,56,2
7,30,13,2,4,4,56,48,1
16,28,1,1,56,1,46,1,1
1,43,1,1,56,1,56,7,51
1,7,28,1,48,1,50,1,20
7,18,1,4,54,4,1,2,23
56,55,54,52,1,45,4,52,1
1,1,45,16,1,16,2,1,54
60,53,16,28,1,1,1,3,1
53,53,54,1,57,1,47,50,16
54,51,1,17,2,4,48,7,47
47,59,1,45,7,55,59,1,16
28,53,1,52,52,52,4,59,1
1,1,1,56,2,30,45,2,8
47,38,1,1,1,47,2,1,1
45,42,35,4,55,1,1,30,1
28,47,50,2,1,1,4,1,43
7,1,4,4,1,8,7,43,4
4,1,2,2,1,1,1,54,4
59,43,35,57,38,1,59,47,52
41,54,1,53,1,30,52,1,57
4,43,50,55,1,46,28,4,1
45,28,33,28,1,30,1,45,30
1,56,1,56,1,1,55,4,1
30,16,60,56,45,55,2,55,47
47,1,4,56,38,4,56,47,1
47,4,1,7,56,45,1,8,45
45,1,1,56,43,45,7,1,1
42,1,45,7,1,45,45,47,40
53,1,54,54,7,53,54,47,1
28,52,52,52,43,43,52,43,7
51,28,55,38,1,59,50,48,47
1,1,4,1,38,7,54,1,30
52,30,1,47,13,55,13,59,2
1,1,42,1,30,43,54,28,7
1,2,53,58,52,51,40,56,56
1,1,47,47,47,43,4,47,1
22,2,28,2,45,54,4,55,45
1,42,58,54,2,45,57,1,60
30,43,35,7,53,1,1,53,52
2,1,56,56,47,2,28,52,59
1,2,4,42,2,45,53,1,28
2,22,1,47,52,54,47,52,47
55,35,54,30,45,60,52,2,56
30,53,53,54,56,59,54,1,12
1,60,35,5,58,42,7,2,16
7,1,56,16,52,47,43,46,52
45,1,52,4,1,1,1,13,52
47,1,1,7,47,1,54,47,47
